ID,Subfield
-1,جميع الاختصاصات
121,اختصاصات متفرقة
80,الجيوديزيا والجغرافيا
98,الصناعات البتروكيماوية
95,الصناعات الغذائية
94,الصناعات الكيميائية
93,الصناعات المعدنية
105,الهندسة الزراعية
122,الهندسة الزراعية
124,الهندسة الصناعية والكيميائية والبترولية
120,الهندسة الكهربائية
118,الهندسة المدنية
117,الهندسة المعمارية
119,الهندسة الميكانيكية
67,انشاءات معدنية
64,انشائي
63,تخطيط مدني
81,تدفئة وتبريد وتهوية وتكييف
76,تعبئة المياه وتوزيعها
126,تقنيات الهندسة الطبية
84,تمديدات كهربائية للمباني
77,تنقية ومعالجة المياه
65,جسور
66,خرسانة مسبقة الاجهاد
71,ري وصرف
75,سكك حديدية
85,شبكات التوزيع
97,صناعات النسيج
96,صناعات مواد البناء
82,صناعة ميكانيكية
87,ضغط عالي
88,ضغط منخفض
74,طرق
83,قوى
112,كهرباء-عام
62,مباني
115,متفرق - عام
78,مجاري
110,مدني-عام
73,مطارات
79,معالجة النفايات
109,معماري-عام
113,مناجم-تعدين-جيولوجيا-عام
70,موانىء
111,ميكانيك -عام
68,ميكانيك التربة
72,نقل
86,نقل القدرة
104,هندسة ادارية
125,هندسة الاتصالات
99,هندسة البترول
92,هندسة الجيولوجية
102,هندسة الرصد الجوي
101,هندسة الطيران
89,هندسة الكترونية وكمبيوتر
100,هندسة الملاحة الجوية
91,هندسة المناجم والتعدين
123,هندسة المناجم والتعدين والهندسة الجيولوجية
90,هندسة المواصلات
103,هندسة بحرية
116,هندسة زراعية-عام
114,هندسة صناعية-كيميائية-بترول-عام
69,هيدروليكا
